youtube_video_id,youtube_url,title_original,channel_name,language,topic,duration_seconds,availability,description_checked,description_characters,youtube_chapters_checked,chapter_count,captions_checked,caption_languages,contains_marketing_signal,professional_source_signal,evidence_score,preliminary_decision,decision_reason
oMnfpPeBr2o,https://www.youtube.com/watch?v=oMnfpPeBr2o,כביש מהיר אופנוע חלש,SobeR RideR,he,urban_hazards,445,public,True,1223,True,0,True,,False,False,3,rejected,no_chapters_or_captions_for_content_evidence
Mv9pGSii7Ig,https://www.youtube.com/watch?v=Mv9pGSii7Ig,טיול אופנועים ליוון עם צביקה כהן השטח,משה טיולי שטח Moto Tours,he,navigation,184,public,True,62,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|el-orig|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,5,rejected,title_indicates_non_instructional_or_promotional_content
rUebtFqywso,https://www.youtube.com/watch?v=rUebtFqywso,5 טעויות שרוכבי אופנועים עושים | ALOOSH,Aloosh,he,basics,484,public,True,80,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
L2_CBYlLkWs,https://www.youtube.com/watch?v=L2_CBYlLkWs,שימוש בבקרות האופנוע ברכיבת שטח,Cohen Adventure (‫צביקה כהן השטח‬‎),he,obstacles,132,public,True,175,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
keR2svi5eSk,https://www.youtube.com/watch?v=keR2svi5eSk,אור מתרגל בלימה ספורטיבית,משה פרחי - רכיבה מתקדמת,he,braking,20,public,True,165,True,0,True,,False,True,3,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
JlbTwbRMtZI,https://www.youtube.com/watch?v=JlbTwbRMtZI,"אדוונצ'רים מתחילים - טיול ראש השנה תשפ""ד לצפון",ADV Moto Life,he,channel_seed,1978,public,True,607,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,5,rejected,title_indicates_non_instructional_or_promotional_content
0zrwC8gNf1A,https://www.youtube.com/watch?v=0zrwC8gNf1A,טיפ שכול רוכב אופנוע צריך לדעת | ALOOSH,Aloosh,he,urban_hazards,347,public,True,0,True,0,True,,False,False,1,rejected,description_missing; no_chapters_or_captions_for_content_evidence
qt262cjyWAc,https://www.youtube.com/watch?v=qt262cjyWAc,ASK Ralbad | איך מרכיבים אדם נוסף בצורה בטוחה?,Ask Ralbad,he,safety_body,113,public,True,74,True,0,True,iw,False,True,6,eligible_for_content_review,caption_tracks=1; professional_source_signal
vq0KW68hJp8,https://www.youtube.com/watch?v=vq0KW68hJp8,"אופיר טרקטורונים , החלפת פנימית באופנוע שטח.MOV",CarsPlace.co.il,he,puncture,16,public,True,105,True,0,True,,False,False,1,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
EA1Q1evwcYY,https://www.youtube.com/watch?v=EA1Q1evwcYY,איך מעבירים הילוכים עם מגפי שטח,Cohen Adventure (‫צביקה כהן השטח‬‎),he,offroad_basics,140,public,True,240,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
